Date,Amount,Account Number,,Transaction Type,Transaction Details,Category,Merchant Name,Processed On
30 Jun 26,-205.61,512847391,,EFTPOS DEBIT,V8213 30/06 SMILE DENTAL GROUP ARMADALE 46200751084,Medical,Smile Dental Group,30 Jun 26
30 Jun 26,-40.98,512847391,,EFTPOS DEBIT,V8213 30/06 BWS LIQUOR CAULFIELD 10379219561,Alcohol,Bws Liquor,30 Jun 26
30 Jun 26,-50.9,512847391,,MISCELLANEOUS DEBIT,V8213 30/06 UBER *EATS SYDNEY 90701990729,Restaurants,Uber,02 Jul 26
29 Jun 26,-95.98,512847391,,EFTPOS DEBIT,V8213 29/06 MALVERN MEDICAL CTR MALVERN 33820778931,Medical,Malvern Medical Ctr,29 Jun 26
29 Jun 26,-14.44,512847391,,EFTPOS DEBIT,V8213 29/06 SEVEN SEEDS COFFEE CARLTON 35261924674,Cafe & coffee,Seven Seeds Coffee,01 Jul 26
28 Jun 26,-30.54,512847391,,EFTPOS DEBIT,V8213 28/06 PTV MYKI TOPUP MELBOURNE 61202466791,Transport,Ptv Myki Topup,28 Jun 26
27 Jun 26,-178.62,512847391,,EFTPOS DEBIT,V8213 27/06 UNIQLO AUSTRALIA MELBOURNE 32616097259,Clothing & accessories,,28 Jun 26
26 Jun 26,-51.46,512847391,,EFTPOS DEBIT,V8213 26/06 PTV MYKI TOPUP MELBOURNE 60902211695,Transport,,26 Jun 26
26 Jun 26,-100.21,512847391,,MISCELLANEOUS DEBIT,V8213 26/06 THE ICONIC SYDNEY 87144298577,Clothing & accessories,The Iconic,26 Jun 26
26 Jun 26,-750.0,512847391,,TRANSFER DEBIT,Internet Transfer To SAVINGS ACCT 13127131125,Transfers out,,27 Jun 26
24 Jun 26,-149.02,512847391,,AUTOMATIC DRAWING,ORIGIN ENERGY 60631150152,Uncategorised,Origin Energy,24 Jun 26
24 Jun 26,-18.6,512847391,,EFTPOS DEBIT,V8213 24/06 READINGS BOOKS CARLTON 49140731869,Uncategorised,Readings Books,24 Jun 26
24 Jun 26,-47.85,512847391,,MISCELLANEOUS DEBIT,V8213 24/06 UBER *EATS SYDNEY 60217942926,Restaurants,Uber,25 Jun 26
24 Jun 26,-21.07,512847391,,EFTPOS DEBIT,V8213 24/06 PTV MYKI TOPUP MELBOURNE 16211629071,Transport,Ptv Myki Topup,25 Jun 26
24 Jun 26,-43.15,512847391,,MISCELLANEOUS DEBIT,V8213 24/06 MENULOG SYDNEY 68262688065,Restaurants,Menulog,25 Jun 26
23 Jun 26,-148.76,512847391,,EFTPOS DEBIT,V8213 23/06 BUNNINGS WAREHOUSE PORT MELBOURNE 49091678793,Other shopping,Bunnings Warehouse,23 Jun 26
23 Jun 26,-88.46,512847391,,EFTPOS DEBIT,V8213 23/06 BUNNINGS WAREHOUSE PORT MELBOURNE 51680497357,Other shopping,Bunnings Warehouse,23 Jun 26
23 Jun 26,-128.58,512847391,,EFTPOS DEBIT,V8213 23/06 TONKA RESTAURANT MELBOURNE 37143602539,Restaurants,Tonka Restaurant,23 Jun 26
23 Jun 26,-25.47,512847391,,EFTPOS DEBIT,V8213 23/06 PTV MYKI TOPUP MELBOURNE 98840154067,Transport,Ptv Myki Topup,23 Jun 26
22 Jun 26,-72.52,512847391,,EFTPOS DEBIT,V8213 22/06 DAN MURPHYS GLEN IRIS 93840061508,Alcohol,Dan Murphys,24 Jun 26
22 Jun 26,-61.14,512847391,,EFTPOS DEBIT,V8213 22/06 BUNNINGS WAREHOUSE PORT MELBOURNE 18045488451,Other shopping,Bunnings Warehouse,22 Jun 26
22 Jun 26,-6.56,512847391,,EFTPOS DEBIT,V8213 22/06 THE GRINDER CAFE PRAHRAN 65089251910,Cafe & coffee,The Grinder Cafe,23 Jun 26
21 Jun 26,-28.46,512847391,,EFTPOS DEBIT,V8213 21/06 IGA XPRESS MURRUMBEENA 32648161532,Groceries,Iga Xpress,21 Jun 26
21 Jun 26,-18.58,512847391,,EFTPOS DEBIT,V8213 21/06 SEVEN SEEDS COFFEE CARLTON 73960562285,Cafe & coffee,Seven Seeds Coffee,21 Jun 26
21 Jun 26,-29.99,512847391,,AUTOMATIC DRAWING,ADOBE CREATIVE CLOUD 49917020995,Subscriptions,Adobe Creative Cloud,21 Jun 26
20 Jun 26,-55.85,512847391,,EFTPOS DEBIT,V8213 20/06 WOOLWORTHS 1234 CARNEGIE 79597137247,Groceries,,20 Jun 26
19 Jun 26,-95.33,512847391,,EFTPOS DEBIT,V8213 19/06 COLES SUPERMARKET MALVERN EAST 51759579298,Groceries,Coles Supermarket,21 Jun 26
19 Jun 26,-14.92,512847391,,EFTPOS DEBIT,V8213 19/06 THE GRINDER CAFE PRAHRAN 64252211579,Cafe & coffee,The Grinder Cafe,20 Jun 26
19 Jun 26,-19.12,512847391,,EFTPOS DEBIT,V8213 19/06 LUNE CROISSANTERIE FITZROY 97169134795,Cafe & coffee,Lune Croissanterie,19 Jun 26
19 Jun 26,-40.58,512847391,,EFTPOS DEBIT,V8213 19/06 ALDI STORES OAKLEIGH 47024088035,Groceries,Aldi Stores,21 Jun 26
18 Jun 26,-65.0,512847391,,AUTOMATIC DRAWING,TELSTRA CORPORATION 26503415450,Uncategorised,Telstra Corporation,20 Jun 26
18 Jun 26,-30.23,512847391,,MISCELLANEOUS DEBIT,V8213 18/06 DIDI MOBILITY MELBOURNE 91681549880,Transport,Didi Mobility,18 Jun 26
17 Jun 26,-18.71,512847391,,EFTPOS DEBIT,V8213 17/06 SEVEN SEEDS COFFEE CARLTON 26500985386,Cafe & coffee,Seven Seeds Coffee,19 Jun 26
17 Jun 26,-35.25,512847391,,MISCELLANEOUS DEBIT,V8213 17/06 MENULOG SYDNEY 98755778703,Restaurants,Menulog,19 Jun 26
17 Jun 26,-24.26,512847391,,EFTPOS DEBIT,V8213 17/06 PRICELINE PHARMACY CARNEGIE 27370327674,Personal care,,17 Jun 26
16 Jun 26,-160.76,512847391,,EFTPOS DEBIT,V8213 16/06 CHIN CHIN MELBOURNE 32674224650,Restaurants,,16 Jun 26
16 Jun 26,-99.43,512847391,,EFTPOS DEBIT,V8213 16/06 PETSTOCK MOORABBIN 79867681955,Uncategorised,Petstock,17 Jun 26
15 Jun 26,-77.62,512847391,,EFTPOS DEBIT,V8213 15/06 COTTON ON CHADSTONE 65022029175,Clothing & accessories,Cotton On,15 Jun 26
15 Jun 26,-58.95,512847391,,EFTPOS DEBIT,V8213 15/06 SHELL COLES EXPRESS HAWTHORN 96614789026,Fuel,Shell Coles Express,16 Jun 26
15 Jun 26,-32.5,512847391,,AUTOMATIC DRAWING,ANTHROPIC CLAUDE.AI 60873361640,Subscriptions,Anthropic Claude.ai,15 Jun 26
14 Jun 26,-106.39,512847391,,EFTPOS DEBIT,V8213 14/06 DAN MURPHYS GLEN IRIS 29964641844,Alcohol,Dan Murphys,15 Jun 26
14 Jun 26,-91.81,512847391,,EFTPOS DEBIT,V8213 14/06 BP CONNECT CHADSTONE 51571713291,Fuel,Bp Connect,15 Jun 26
13 Jun 26,-250.0,512847391,,TRANSFER DEBIT,Internet Transfer To K MITCHELL 95269080301,Transfers out,,13 Jun 26
13 Jun 26,-68.76,512847391,,EFTPOS DEBIT,V8213 13/06 OFFICEWORKS SOUTH MELBOURNE 22304037611,Other shopping,Officeworks,14 Jun 26
12 Jun 26,-322.26,512847391,,EFTPOS DEBIT,V8213 12/06 JB HI-FI CHADSTONE 11518518429,Other shopping,Jb Hi-fi,14 Jun 26
12 Jun 26,-300.0,512847391,,ATM DEBIT,ATM WDL CBD MELBOURNE 99116764870,Uncategorised,,12 Jun 26
12 Jun 26,-500.0,512847391,,TRANSFER DEBIT,Internet Transfer To K MITCHELL 50568623571,Transfers out,,12 Jun 26
12 Jun 26,-28.91,512847391,,EFTPOS DEBIT,V8213 12/06 NIGHT OWL CONVENIENCE ELSTERNWICK 40006696376,Groceries,Night Owl Convenience,12 Jun 26
12 Jun 26,-200.0,512847391,,ATM DEBIT,ATM WDL CARNEGIE 59489283345,Uncategorised,,13 Jun 26
12 Jun 26,-9.99,512847391,,AUTOMATIC DRAWING,PRIME VIDE* PRIMEVIDEO 91068007818,Subscriptions,Prime Primevideo,14 Jun 26
12 Jun 26,-49.23,512847391,,MISCELLANEOUS DEBIT,V8213 12/06 UBER *EATS SYDNEY 85560664126,Restaurants,Uber,12 Jun 26
12 Jun 26,-39.94,512847391,,EFTPOS DEBIT,V8213 12/06 READINGS BOOKS CARLTON 47759979767,Uncategorised,,13 Jun 26
11 Jun 26,-50.02,512847391,,EFTPOS DEBIT,V8213 11/06 COTTON ON CHADSTONE 95361156639,Clothing & accessories,Cotton On,11 Jun 26
11 Jun 26,-48.3,512847391,,EFTPOS DEBIT,V8213 11/06 PRICELINE PHARMACY CARNEGIE 76489189181,Personal care,Priceline Pharmacy,11 Jun 26
10 Jun 26,-38.28,512847391,,EFTPOS DEBIT,V8213 10/06 BARBER LANE WINDSOR 44634330848,Personal care,Barber Lane,10 Jun 26
10 Jun 26,-5.67,512847391,,EFTPOS DEBIT,V8213 10/06 SEVEN SEEDS COFFEE CARLTON 95123961448,Cafe & coffee,Seven Seeds Coffee,12 Jun 26
09 Jun 26,-9.31,512847391,,EFTPOS DEBIT,V8213 09/06 SEVEN SEEDS COFFEE CARLTON 62065134984,Cafe & coffee,,10 Jun 26
09 Jun 26,-186.19,512847391,,EFTPOS DEBIT,V8213 09/06 BUNNINGS WAREHOUSE PORT MELBOURNE 34070788732,Other shopping,Bunnings Warehouse,10 Jun 26
09 Jun 26,-500.0,512847391,,TRANSFER DEBIT,Internet Transfer To K MITCHELL 48219091177,Transfers out,,09 Jun 26
09 Jun 26,-92.15,512847391,,AUTOMATIC DRAWING,AGL SALES 57978974956,Uncategorised,Agl Sales,11 Jun 26
08 Jun 26,-50.0,512847391,,ATM DEBIT,ATM WDL CARNEGIE 64216659748,Uncategorised,,09 Jun 26
08 Jun 26,-25.09,512847391,,EFTPOS DEBIT,V8213 08/06 COLES SUPERMARKET MALVERN EAST 34728923831,Groceries,Coles Supermarket,09 Jun 26
08 Jun 26,-69.63,512847391,,EFTPOS DEBIT,V8213 08/06 SHELL COLES EXPRESS HAWTHORN 23975581504,Fuel,Shell Coles Express,08 Jun 26
07 Jun 26,-67.77,512847391,,EFTPOS DEBIT,V8213 07/06 READINGS BOOKS CARLTON 91611350994,Uncategorised,Readings Books,07 Jun 26
07 Jun 26,-50.6,512847391,,EFTPOS DEBIT,V8213 07/06 ALDI STORES OAKLEIGH 43706081552,Groceries,Aldi Stores,08 Jun 26
07 Jun 26,-77.41,512847391,,EFTPOS DEBIT,V8213 07/06 SHELL COLES EXPRESS HAWTHORN 26078711486,Fuel,Shell Coles Express,07 Jun 26
07 Jun 26,-6.69,512847391,,EFTPOS DEBIT,V8213 07/06 KOORNANG RD MILK BAR CARNEGIE 84125818933,Groceries,Koornang Rd Milk Bar,08 Jun 26
07 Jun 26,-62.62,512847391,,EFTPOS DEBIT,V8213 07/06 BUNNINGS WAREHOUSE PORT MELBOURNE 96767665927,Other shopping,Bunnings Warehouse,08 Jun 26
07 Jun 26,-13.99,512847391,,AUTOMATIC DRAWING,SPOTIFY AUSTRALIA 33494230392,Subscriptions,Spotify Australia,07 Jun 26
06 Jun 26,-42.56,512847391,,EFTPOS DEBIT,V8213 06/06 BWS LIQUOR CAULFIELD 29281212142,Alcohol,Bws Liquor,07 Jun 26
05 Jun 26,-24.95,512847391,,AUTOMATIC DRAWING,GOODLIFE HEALTH CLUBS 22041425491,Gym & fitness,Goodlife Health Clubs,06 Jun 26
05 Jun 26,-21.47,512847391,,EFTPOS DEBIT,V8213 05/06 THE GRINDER CAFE PRAHRAN 11122574199,Cafe & coffee,The Grinder Cafe,07 Jun 26
04 Jun 26,-78.53,512847391,,EFTPOS DEBIT,V8213 04/06 COTTON ON CHADSTONE 56289637409,Clothing & accessories,Cotton On,04 Jun 26
04 Jun 26,-37.98,512847391,,MISCELLANEOUS DEBIT,V8213 04/06 DIDI MOBILITY MELBOURNE 48976456991,Transport,Didi Mobility,05 Jun 26
04 Jun 26,-88.88,512847391,,EFTPOS DEBIT,V8213 04/06 KMART CHADSTONE 50258527557,Other shopping,Kmart,04 Jun 26
04 Jun 26,-57.6,512847391,,EFTPOS DEBIT,V8213 04/06 WOOLWORTHS 1234 CARNEGIE 49767640458,Groceries,Woolworths,04 Jun 26
03 Jun 26,-37.84,512847391,,EFTPOS DEBIT,V8213 03/06 HOYTS CINEMAS CHADSTONE 39197480990,Uncategorised,Hoyts Cinemas,03 Jun 26
03 Jun 26,-25.99,512847391,,AUTOMATIC DRAWING,NETFLIX.COM 69191455089,Subscriptions,Netflix.com,03 Jun 26
03 Jun 26,-218.14,512847391,,EFTPOS DEBIT,V8213 03/06 LORT SMITH VET NORTH MELBOURNE 93033507956,Uncategorised,,04 Jun 26
03 Jun 26,-101.44,512847391,,MISCELLANEOUS DEBIT,V8213 03/06 THE ICONIC SYDNEY 38915306830,Clothing & accessories,The Iconic,03 Jun 26
02 Jun 26,-186.17,512847391,,AUTOMATIC DRAWING,MEDIBANK PRIVATE 16143313645,Uncategorised,Medibank Private,03 Jun 26
01 Jun 26,-2367.41,512847391,,AUTOMATIC DRAWING,REAL ESTATE TRUST ACCT 52942449471,Uncategorised,Real Estate Trust Acct,02 Jun 26
01 Jun 26,-1.85,512847391,,FEES,INTERNATIONAL TRANSACTION FEE,Fees,,01 Jun 26
01 Jun 26,-34.79,512847391,,EFTPOS DEBIT,V8213 01/06 WILSON PARKING MELBOURNE 43763730282,Transport,Wilson Parking,02 Jun 26
31 May 26,-7.27,512847391,,EFTPOS DEBIT,V8213 31/05 THE GRINDER CAFE PRAHRAN 31333777853,Cafe & coffee,The Grinder Cafe,01 Jun 26
30 May 26,-41.04,512847391,,EFTPOS DEBIT,V8213 30/05 WOOLWORTHS 1234 CARNEGIE 35502731291,Groceries,Woolworths,30 May 26
30 May 26,-49.89,512847391,,EFTPOS DEBIT,V8213 30/05 BARBER LANE WINDSOR 81202918491,Personal care,Barber Lane,30 May 26
29 May 26,-17.03,512847391,,EFTPOS DEBIT,V8213 29/05 PRICELINE PHARMACY CARNEGIE 76013025597,Personal care,Priceline Pharmacy,30 May 26
28 May 26,-166.4,512847391,,EFTPOS DEBIT,V8213 28/05 MALVERN MEDICAL CTR MALVERN 87178833934,Medical,Malvern Medical Ctr,28 May 26
