id,date,amount,type,description,merchant,account,category,parent,confidence
0,2026-06-30,-205.61,EFTPOS DEBIT,V8213 30/06 SMILE DENTAL GROUP ARMADALE 46200751084,Smile Dental Group,512847391,Dentist,Health,1.0
1,2026-06-30,-40.98,EFTPOS DEBIT,V8213 30/06 BWS LIQUOR CAULFIELD 10379219561,Bws Liquor,512847391,Liquor Store,Groceries,1.0
2,2026-06-30,-50.9,MISCELLANEOUS DEBIT,V8213 30/06 UBER *EATS SYDNEY 90701990729,Uber,512847391,Food Delivery,Dining,0.95
3,2026-06-29,-95.98,EFTPOS DEBIT,V8213 29/06 MALVERN MEDICAL CTR MALVERN 33820778931,Malvern Medical Ctr,512847391,Doctor,Health,1.0
4,2026-06-29,-14.44,EFTPOS DEBIT,V8213 29/06 SEVEN SEEDS COFFEE CARLTON 35261924674,Seven Seeds Coffee,512847391,Cafe & Coffee,Dining,1.0
5,2026-06-28,-30.54,EFTPOS DEBIT,V8213 28/06 PTV MYKI TOPUP MELBOURNE 61202466791,Ptv Myki Topup,512847391,Public Transport,Transport,1.0
6,2026-06-27,-178.62,EFTPOS DEBIT,V8213 27/06 UNIQLO AUSTRALIA MELBOURNE 32616097259,,512847391,Clothing,Shopping,1.0
7,2026-06-26,-51.46,EFTPOS DEBIT,V8213 26/06 PTV MYKI TOPUP MELBOURNE 60902211695,,512847391,Public Transport,Transport,0.98
8,2026-06-26,-100.21,MISCELLANEOUS DEBIT,V8213 26/06 THE ICONIC SYDNEY 87144298577,The Iconic,512847391,Clothing,Shopping,1.0
9,2026-06-26,-750.0,TRANSFER DEBIT,Internet Transfer To SAVINGS ACCT 13127131125,,512847391,Internal Transfers,Transfers,0.98
10,2026-06-24,-149.02,AUTOMATIC DRAWING,ORIGIN ENERGY 60631150152,Origin Energy,512847391,Electricity,Utilities,1.0
11,2026-06-24,-18.6,EFTPOS DEBIT,V8213 24/06 READINGS BOOKS CARLTON 49140731869,Readings Books,512847391,Books,Entertainment,1.0
12,2026-06-24,-47.85,MISCELLANEOUS DEBIT,V8213 24/06 UBER *EATS SYDNEY 60217942926,Uber,512847391,Food Delivery,Dining,1.0
13,2026-06-24,-21.07,EFTPOS DEBIT,V8213 24/06 PTV MYKI TOPUP MELBOURNE 16211629071,Ptv Myki Topup,512847391,Public Transport,Transport,1.0
14,2026-06-24,-43.15,MISCELLANEOUS DEBIT,V8213 24/06 MENULOG SYDNEY 68262688065,Menulog,512847391,Food Delivery,Dining,0.88
15,2026-06-23,-148.76,EFTPOS DEBIT,V8213 23/06 BUNNINGS WAREHOUSE PORT MELBOURNE 49091678793,Bunnings Warehouse,512847391,Hardware & DIY,Shopping,1.0
16,2026-06-23,-88.46,EFTPOS DEBIT,V8213 23/06 BUNNINGS WAREHOUSE PORT MELBOURNE 51680497357,Bunnings Warehouse,512847391,Hardware & DIY,Shopping,1.0
17,2026-06-23,-128.58,EFTPOS DEBIT,V8213 23/06 TONKA RESTAURANT MELBOURNE 37143602539,Tonka Restaurant,512847391,Restaurants & Takeaway,Dining,1.0
18,2026-06-23,-25.47,EFTPOS DEBIT,V8213 23/06 PTV MYKI TOPUP MELBOURNE 98840154067,Ptv Myki Topup,512847391,Public Transport,Transport,0.86
19,2026-06-22,-72.52,EFTPOS DEBIT,V8213 22/06 DAN MURPHYS GLEN IRIS 93840061508,Dan Murphys,512847391,Liquor Store,Groceries,0.99
20,2026-06-22,-61.14,EFTPOS DEBIT,V8213 22/06 BUNNINGS WAREHOUSE PORT MELBOURNE 18045488451,Bunnings Warehouse,512847391,Hardware & DIY,Shopping,1.0
21,2026-06-22,-6.56,EFTPOS DEBIT,V8213 22/06 THE GRINDER CAFE PRAHRAN 65089251910,The Grinder Cafe,512847391,Cafe & Coffee,Dining,1.0
22,2026-06-21,-28.46,EFTPOS DEBIT,V8213 21/06 IGA XPRESS MURRUMBEENA 32648161532,Iga Xpress,512847391,Convenience Store,Groceries,1.0
23,2026-06-21,-18.58,EFTPOS DEBIT,V8213 21/06 SEVEN SEEDS COFFEE CARLTON 73960562285,Seven Seeds Coffee,512847391,Cafe & Coffee,Dining,1.0
24,2026-06-21,-29.99,AUTOMATIC DRAWING,ADOBE CREATIVE CLOUD 49917020995,Adobe Creative Cloud,512847391,Software & Apps,Subscriptions,0.97
25,2026-06-20,-55.85,EFTPOS DEBIT,V8213 20/06 WOOLWORTHS 1234 CARNEGIE 79597137247,,512847391,Supermarket,Groceries,1.0
26,2026-06-19,-95.33,EFTPOS DEBIT,V8213 19/06 COLES SUPERMARKET MALVERN EAST 51759579298,Coles Supermarket,512847391,Supermarket,Groceries,1.0
27,2026-06-19,-14.92,EFTPOS DEBIT,V8213 19/06 THE GRINDER CAFE PRAHRAN 64252211579,The Grinder Cafe,512847391,Cafe & Coffee,Dining,1.0
